source,target
serraalle,LindaIerardi
serraalle,tarmelop
serraalle,tarmelop
serraalle,CoderDojo
LindaIerardi,agaddone
LindaIerardi,coderdojobo
LindaIerardi,coderdojobo
LindaIerardi,CoderDojo
calabriativi,ProgettoRENA
calabriativi,VZappino
calabriativi,SmartDMO
PuntoDock,ProgettoRENA
PuntoDock,LabGov
SBVinTasca,coderdojobza
carlettab,tarmelop
diegoteloni,ProgettoRENA
diegoteloni,FusacchiA
FusacchiA,ProgettoRENA
FusacchiA,federicoravaldi
DarioMazzella,ProgettoRENA
DarioMazzella,addibbi
spettandoGodot,TommasoSacchi
ghirardinicola,MicheledAlena
ghirardinicola,metiuuitem
ghirardinicola,aubreymcfato
ghirardinicola,simosacchi
metiuuitem,MicheledAlena
metiuuitem,ghirardinicola
ValComm,ProgettoRENA
ValComm,ProgettoRENA
ValComm,ProgettoRENA
ValComm,ProgettoRENA
ValComm,doonie
ValComm,FLuccisano
ValComm,FLuccisano
ValComm,perugini
ValComm,chrisiaio
ValComm,FusacchiA
ValComm,addibbi
ValComm,LSecchiari
ValComm,BChiavarino
ValComm,marcogy
ValComm,aperdichizzi
ValComm,Ale_Nigro
ValComm,Ale_Nigro
ValComm,GammaDonna_
ValComm,frarusso
ValComm,isaangiuli
BChiavarino,doonie
BChiavarino,doonie
BChiavarino,MLetiziaGardoni
BChiavarino,terredeisavoia
chiarabert,MLetiziaGardoni
chiarabert,indugiare
StefanoZorzi,FLuccisano
Societing_SC,doonie
Societing_SC,FLuccisano
y_teal,ortiche_
annamasera,siboc
annamasera,mantralex
annamasera,napo
RanghioFrance,OOPgiovani
RanghioFrance,chiarabert
RanghioFrance,indugiare
RanghioFrance,gen_legacoop
bobpersio,doonie
bobpersio,marcogy
AlessandraFeol1,ProgettoRENA
AlessandraFeol1,ProgettoRENA
AlessandraFeol1,ProgettoRENA
AlessandraFeol1,chrisiaio
AlessandraFeol1,chrisiaio
AlessandraFeol1,LabGov
AlessandraFeol1,LabGov
AlessandraFeol1,LabGov
AlessandraFeol1,ErikaMunno
AlessandraFeol1,marcogy
AlessandraFeol1,GIConfindustria
AlessandraFeol1,Labsus1
AlessandraFeol1,Labsus1
AlessandraFeol1,socialstreet_it
vapost,ProgettoRENA
vapost,FLuccisano
vapost,clarainbeta
clarainbeta,enablingcity
clarainbeta,Forum_PA
SilviaZanella_,doonie
SilviaZanella_,biljaic
aperdichizzi,ProgettoRENA
aperdichizzi,ProgettoRENA
aperdichizzi,doonie
aperdichizzi,marcogy
aperdichizzi,GIConfindustria
aperdichizzi,IlariaLani
gretabonfatti,ProgettoRENA
gretabonfatti,coderdojobo
massimosanti,ProgettoRENA
massimosanti,CoderDojo
fedecolonna,doonie
fedecolonna,doonie
fedecolonna,doonie
michiamofede,ProgettoRENA
michiamofede,doonie
michiamofede,doonie
michiamofede,doonie
michiamofede,proformaweb
michiamofede,ChiaraPeggy
michiamofede,IdeaGinger
michiamofede,indugiare
michiamofede,CultPopSocCoop
michiamofede,gen_legacoop
invisigot,MicheledAlena
invisigot,MicheledAlena
invisigot,ghirardinicola
invisigot,metiuuitem
invisigot,metiuuitem
invisigot,marcobani
invisigot,cimina
invisigot,cimina
invisigot,LucaCominassi
invisigot,LucaCominassi
invisigot,damienlanfrey
invisigot,ales9000
invisigot,Fare_Fiumicino
io_floriano,ProgettoRENA
io_floriano,siboc
Ale_Nigro,ProgettoRENA
Ale_Nigro,ProgettoRENA
Ale_Nigro,doonie
nikko801,ProgettoRENA
Cittadinireatti,ProgettoRENA
noemisatta,ProgettoRENA
GammaDonna_,clodcop
dskutz,tarmelop
dskutz,tarmelop
gpcolletti,ChefSimone
VaPediroda,siboc
VaPediroda,Findemonte
Emiliana_Me,ProgettoRENA
sergiogalasso,TommasoSacchi
sergiogalasso,BolloAlessandro
vivaioimprese,perugini
funkylotito,ChiaraPeggy
funkylotito,siboc
funkylotito,RitaBartolomei
funkylotito,meedabyte
cimina,ProgettoRENA
cimina,carlettab
cimina,CoderDojo
cimina,invisigot
cimina,LucaCominassi
cimina,damienlanfrey
Emuratori,doonie
Urban_Res_Dance,chrisiaio
meg_pag,ProgettoRENA
meg_pag,bia_hvid
meg_pag,MicheledAlena
meg_pag,Ale_Nigro
meg_pag,mr_travaglini
meg_pag,ivanapais
wendy_tiger,bertramniessen
VitaDario,domenicoros
VitaDario,calabriativi
VitaDario,VZappino
VitaDario,SmartDMO
VitaDario,ParcoSila
CentroAntartide,lucarizzonervo
CentroAntartide,CittaBeniComuni
Giank_Russo,ColdirettiG
Giank_Russo,MLetiziaGardoni
Giank_Russo,matteorenzi
frarusso,ProgettoRENA
frarusso,FLuccisano
frarusso,davideagazzi
frarusso,clodcop
saverio_cuoghi,socialstreet_it
eccoilmoro,MicheledAlena
ceciliamanzo,ProgettoRENA
ceciliamanzo,ProgettoRENA
ceciliamanzo,ProgettoRENA
ceciliamanzo,FLuccisano
ceciliamanzo,Ale_Nigro
ceciliamanzo,clodcop
ceciliamanzo,letiziapian
letiziapian,OOPgiovani
letiziapian,chiarabert
letiziapian,RanghioFrance
MrAmpu,ProgettoRENA
MrAmpu,Erica_sir
MrAmpu,enzolefevre
Carolicen,siboc
Carolicen,RuralHub
MRosariaPeduto,FusacchiA
Wineup,siboc
lidiamarongiu,ProgettoRENA
darios,Sardexnet
sociolab_tweet,ProgettoRENA
sociolab_tweet,davideagazzi
EleParisi,Radio3tweet
Ghostwriter37,ProgettoRENA
Ghostwriter37,ColdirettiG
Ghostwriter37,BolognaTwit
saronnornr,ProgettoRENA
giamaura,we4italy
killermedia,ProgettoRENA
killermedia,ProgettoRENA
killermedia,CoderDojo
killermedia,massimosanti
paoloventuri100,mantralex
paoloventuri100,Innovandiamo
EPietrafesa,ProgettoRENA
EPietrafesa,agaddone
EPietrafesa,CoderDojo
EPietrafesa,GruppoNUME
GruppoNUME,coderdojobo
GruppoNUME,tarmelop
GruppoNUME,dskutz
Andreacritico,siboc
Andreacritico,Monithon
Andreacritico,invisigot
Andreacritico,cimina
Andreacritico,LucaCominassi
Andreacritico,damienlanfrey
ZazzaNM,ProgettoRENA
LiatRogel,cosesemplici
LiatRogel,HousingLab
nimeo,clodcop
nimeo,babasmood
saverio_massaro,EsperimentiArch
TorinoAnni10,ProgettoRENA
TorinoAnni10,LiveUru
TorinoAnni10,egferro
Socialseed_,ProgettoRENA
