source,target
ProgettoRENA,YouCanGroup
ProgettoRENA,Ffoodinstitute
ProgettoRENA,doonie
ProgettoRENA,doonie
ProgettoRENA,doonie
ProgettoRENA,FLuccisano
ProgettoRENA,FLuccisano
ProgettoRENA,f_galtieri
ProgettoRENA,salvamarra
ProgettoRENA,stefymilo
ProgettoRENA,MicheledAlena
ProgettoRENA,davideagazzi
ProgettoRENA,ColdirettiG
ProgettoRENA,tarmelop
ProgettoRENA,FusacchiA
ProgettoRENA,MLetiziaGardoni
ProgettoRENA,etuc_ces
ProgettoRENA,marcogy
ProgettoRENA,CoderDojo
ProgettoRENA,GIConfindustria
ProgettoRENA,clodcop
YouCanGroup,ProgettoRENA
YouCanGroup,ProgettoRENA
YouCanGroup,ProgettoRENA
YouCanGroup,ProgettoRENA
YouCanGroup,ProgettoRENA
YouCanGroup,ProgettoRENA
YouCanGroup,Ffoodinstitute
YouCanGroup,RuralHub
YouCanGroup,saroversi
YouCanGroup,saroversi
YouCanGroup,saroversi
YouCanGroup,saroversi
YouCanGroup,saroversi
YouCanGroup,ChefSimone
YouCanGroup,ndifino
YouCanGroup,ndifino
YouCanGroup,marcogy
YouCanGroup,vignolimatteo
YouCanGroup,vignolimatteo
YouCanGroup,BolognaTwit
YouCanGroup,BolognaTwit
YouCanGroup,chiaramarza
YouCanGroup,alcenero
YouCanGroup,alepirani
Ffoodinstitute,ProgettoRENA
Ffoodinstitute,ColdirettiG
fedepank,doonie
fedepank,salvamarra
fedepank,IlariaLani
biljaic,doonie
biljaic,doonie
biljaic,doonie
biljaic,alebegoli
biljaic,ChiaraPeggy
biljaic,gluca
biljaic,lorenzov
dominicipi,ProgettoRENA
dominicipi,ProgettoRENA
dominicipi,Erica_sir
dominicipi,CoderDojo
Erica_sir,ProgettoRENA
playgroundmary,TouringClub
FabRM75,ProgettoRENA
FabRM75,proformaweb
PierG,ProgettoRENA
PierG,ArtOfDecisions
PierG,IconsultingBI
PierG,tarmelop
PierG,FusacchiA
PierG,BChiavarino
ArtOfDecisions,MicheledAlena
anpugliese,FLuccisano
perugini,YouCanGroup
perugini,mariella_stella
perugini,f_galtieri
perugini,ChiaraPeggy
perugini,Monithon
perugini,salvamarra
perugini,stefymilo
perugini,davideagazzi
perugini,coderdojobo
perugini,chrisiaio
perugini,ErikaMunno
perugini,ValComm
perugini,aspALISEI
perugini,massimosanti
perugini,Greenjobs_it
perugini,Emiliana_Me
perugini,RobCacciatore
perugini,vivaioimprese
perugini,UrbanCagliari
perugini,LucaCominassi
perugini,gmario_cinelli
perugini,Giank_Russo
perugini,MrAmpu
perugini,sociolab_tweet
perugini,ideaTRE60
perugini,alessiobau
perugini,paolocampagnano
perugini,delsio84
perugini,xdxd_vs_xdxd
perugini,Smartcityexhib
mariella_stella,RaiBallaro
mariella_stella,antoniopolito1
robertore62,ProgettoRENA
robertore62,FLuccisano
robertore62,f_galtieri
f_galtieri,ProgettoRENA
f_galtieri,ProgettoRENA
f_galtieri,doonie
f_galtieri,doonie
f_galtieri,doonie
f_galtieri,OOPgiovani
f_galtieri,OOPgiovani
f_galtieri,Robertap526
f_galtieri,stefymilo
f_galtieri,ColdirettiG
f_galtieri,Anci_Giovani
f_galtieri,MLetiziaGardoni
f_galtieri,marcogy
f_galtieri,GIConfindustria
enzolefevre,ProgettoRENA
enzolefevre,ProgettoRENA
enzolefevre,chrisiaio
fmp_it,doonie
fmp_it,Innovandiamo
bia_hvid,doonie
bia_hvid,doonie
bia_hvid,doonie
bia_hvid,doonie
luigireggi,Erica_sir
luigireggi,siboc
luigireggi,Monithon
siboc,phisaz
siboc,SerenaMaioli
siboc,domenicoros
siboc,totididio
siboc,napo
siboc,lorenzobenussi
siboc,marcobani
siboc,edocolombo
AgostinoRiitano,siboc
AgostinoRiitano,mantralex
AgostinoRiitano,mantralex
AgostinoRiitano,RuralHub
AgostinoRiitano,RuralHub
AgostinoRiitano,RuralHub
AgostinoRiitano,domenicoros
AgostinoRiitano,BolloAlessandro
AgostinoRiitano,meedabyte
AgostinoRiitano,lalgacristina
AgostinoRiitano,bertramniessen
RuralHub,mantralex
RuralHub,ctroccoli
RuralHub,ColdirettiG
RuralHub,BChiavarino
RuralHub,battagliaem
RuralHub,paolacadoni
RuralHub,FAO
salvamarra,ProgettoRENA
salvamarra,ProgettoRENA
salvamarra,ProgettoRENA
salvamarra,doonie
OOPgiovani,biljaic
OOPgiovani,chiarabert
OOPgiovani,indugiare
OOPgiovani,RanghioFrance
OOPgiovani,gen_legacoop
OOPgiovani,gen_legacoop
OOPgiovani,eandless
phisaz,lorenzobenussi
domenicoros,siboc
domenicoros,phisaz
domenicoros,SerenaMaioli
domenicoros,totididio
domenicoros,napo
domenicoros,lorenzobenussi
domenicoros,DarioMazzella
domenicoros,VitaDario
napo,ProgettoRENA
lorenzobenussi,FLuccisano
lorenzobenussi,MicheledAlena
lorenzobenussi,davideagazzi
Robertap526,ProgettoRENA
Robertap526,ProgettoRENA
Robertap526,ProgettoRENA
Robertap526,ProgettoRENA
Robertap526,ProgettoRENA
Robertap526,ProgettoRENA
Robertap526,ProgettoRENA
Robertap526,ProgettoRENA
Robertap526,ProgettoRENA
Robertap526,FLuccisano
Robertap526,FLuccisano
Robertap526,siboc
Robertap526,Anci_Giovani
Robertap526,ADelliNoci
Robertap526,ADelliNoci
Robertap526,RanghioFrance
Robertap526,MazzoccoMike
Robertap526,welikechopin
Robertap526,damienlanfrey
Robertap526,clodcop
Robertap526,matteolepore
Robertap526,lucadellabitta
CrestaMiriam,jaItalia
CrestaMiriam,jaItalia
saroversi,ProgettoRENA
saroversi,ProgettoRENA
saroversi,ProgettoRENA
saroversi,ProgettoRENA
saroversi,YouCanGroup
saroversi,ChefSimone
saroversi,ndifino
saroversi,ndifino
saroversi,marcogy
saroversi,GGUnindustriaBo
EmilBanca,IdeaGinger
EmilBanca,IdeaGinger
EmilBanca,IdeaGinger
EmilBanca,ethicalbanking
EmilBanca,persanluca
nelsonmau,MicheledAlena
nelsonmau,davideagazzi
MicheledAlena,FLuccisano
davideagazzi,ProgettoRENA
agaddone,coderdojobo
agaddone,serraalle
agaddone,LindaIerardi
agaddone,tarmelop
agaddone,CoderDojo
agaddone,GruppoNUME
agaddone,ldomhl
coderdojobo,agaddone
coderdojobo,agaddone
coderdojobo,eineki
coderdojobo,eineki
coderdojobo,eineki
coderdojobo,tarmelop
coderdojobo,BaStraNo
coderdojobo,catemoscetti
coderdojobo,CoderDojo
coderdojobo,CoderDojo
serraalle,agaddone
serraalle,coderdojobo
