term,freq
cambiamento,311
comunità,222
giovannini,96
cambiare,88
opendata,75
festival,72
crowdfunding,70
innovazione,66
abbiamo,60
d'elia,58
innovando,57
stai,57
sharingeconomy,55
bologna,55
parla,54
bisogno,51
dati,51
italia,43
storify,39
sardex,39
nuova,38
been,37
quoted,37
perché,37
you've,37
story,37
cose,36
cultura,36
streaming,36
nuove,35
dobbiamo,34
sharing,34
sala,32
socialinnovation,31
beni,31
rivoluzione,31
social,30
impatto,30
imprese,30
contenti,29
futuro,29
costo,29
annibale,29
culturale,29
sconosciuti,28
idee,27
stessi,27
condivisione,26
digitali,25
digitale,25
umano,25
nicchie,25
economy,25
problema,25
capitale,25
modo,25
open,24
cittadini,24
rete,24
racconta,24
devono,24
soluzioni,23
bello,23
caramelle,23
artigiani,23
comuni,23
fanno,23
enrico,22
valori,22
società,22
bisogna,21
l'innovazione,21
politica,21
istituzioni,21
impresa,21
